"Season","Name","Team","wRC+","TTO%","playerid"
"2022","Ian Happ","CHC","120","34.9%","17919"
"2021","Anthony Rizzo","- - -","113","28.0%","3473"
"2021","Chris Taylor","LAD","113","43.0%","13757"
"2021","Enrique Hernandez","BOS","109","32.6%","10472"
"2021","Jean Segura","PHI","109","23.1%","5933"
"2021","Robbie Grossman","DET","116","41.1%","5254"
"2022","Dansby Swanson","ATL","116","36.8%","18314"
"2022","Ty France","SEA","126","24.3%","17982"
"2021","Nathaniel Lowe","TEX","114","40.5%","19566"
"2021","Nolan Arenado","STL","113","27.6%","9777"
"2021","Ozzie Albies","ATL","107","29.9%","16556"
"2021","Dylan Carlson","STL","113","36.7%","20126"
"2021","J.T. Realmuto","PHI","108","36.1%","11739"
"2022","Anthony Santander","BAL","120","32.5%","14551"
"2022","Randy Arozarena","TBR","125","34.4%","19290"
"2022","Ronald Acuna Jr.","ATL","114","36.4%","18401"
"2021","Ryan Mountcastle","BAL","111","40.1%","18373"
"2022","C.J. Cron","COL","101","37.3%","12546"
"2021","Andrew McCutchen","PHI","108","41.8%","9847"
"2021","Eduardo Escobar","- - -","107","33.4%","6153"
"2021","Ryan McMahon","COL","94","38.4%","15112"
"2021","Alex Verdugo","BOS","107","26.5%","17027"
"2021","Jesus Aguilar","MIA","111","31.6%","11342"
"2021","Mark Canha","OAK","117","35.5%","11445"
"2021","Lourdes Gurriel Jr.","TOR","107","28.7%","19238"
"2021","Charlie Blackmon","COL","93","27.1%","7859"
"2022","Gio Urshela","MIN","119","27.2%","10681"
"2021","Miguel Sano","MIN","112","51.1%","12164"
"2022","Sean Murphy","OAK","122","32.4%","19352"
"2022","Corey Seager","TEX","117","29.3%","13624"
"2022","Matt Chapman","TOR","117","42.7%","16505"
"2022","DJ LeMahieu","NYY","116","27.7%","9874"
"2021","Nicky Lopez","KCR","105","22.1%","19339"
"2021","Austin Hays","BAL","106","29.7%","19363"
"2022","Gleyber Torres","NYY","115","33.6%","16997"
"2021","Ian Happ","CHC","105","45.4%","17919"
"2021","Andrew Benintendi","KCR","105","27.9%","17901"
"2022","Christian Yelich","MIL","111","39.3%","11477"
"2021","Austin Meadows","TBR","113","35.2%","15672"
"2021","Josh Rojas","ARI","102","37.5%","19734"
"2022","Rowdy Tellez","MIL","110","36.4%","15679"
"2022","Andrew Vaughn","CHW","113","25.9%","26197"
"2022","Josh Rojas","ARI","108","31.8%","19734"
"2021","Trey Mancini","BAL","105","34.9%","15149"
"2021","Mike Yastrzemski","SFG","105","38.9%","14854"
"2022","Ryan McMahon","COL","95","39.9%","15112"
"2022","Willy Adames","MIL","109","39.9%","15986"
"2021","Yandy Diaz","TBR","111","30.9%","16578"
"2021","Josh Harrison","- - -","104","20.4%","8202"
"2022","Adolis Garcia","TEX","112","38.1%","19287"
"2021","Adam Duvall","- - -","103","44.5%","10950"
"2021","Jonathan Schoop","DET","107","28.5%","11265"
"2022","Seth Brown","OAK","117","40.0%","18171"
"2021","Jorge Soler","- - -","100","39.2%","14221"
"2022","Daulton Varsho","ARI","106","36.8%","19918"
"2021","Dansby Swanson","ATL","99","37.7%","18314"
"2022","Brendan Rodgers","COL","92","27.5%","17907"
"2021","Trent Grisham","SDP","103","35.7%","18564"
"2022","Jurickson Profar","SDP","110","29.0%","10815"
"2021","Jonathan Villar","NYM","105","38.8%","10071"
"2022","Nico Hoerner","CHC","106","18.4%","21479"
"2021","Eric Hosmer","SDP","103","28.1%","3516"
"2022","Alex Verdugo","BOS","103","21.6%","17027"
"2022","Jake Cronenworth","SDP","109","31.9%","18036"
"2021","Tommy Pham","SDP","102","39.4%","2967"
"2021","Pavin Smith","ARI","96","29.2%","19892"
"2022","Max Muncy","LAD","106","44.6%","13301"
"2022","Tommy Edman","STL","108","27.0%","19470"
"2022","Thairo Estrada","SFG","106","25.1%","16426"
"2022","Marcus Semien","TEX","107","27.5%","12533"
"2022","Ketel Marte","ARI","102","30.1%","13613"
"2022","Charlie Blackmon","COL","89","27.2%","7859"
"2021","Francisco Lindor","NYM","103","33.2%","12916"
"2022","Patrick Wisdom","CHC","104","48.9%","13602"
"2021","Kyle Farmer","CIN","90","25.5%","14813"
"2022","Ryan Mountcastle","BAL","106","36.0%","18373"
"2021","Amed Rosario","CLE","99","27.6%","15518"
"2022","Cedric Mullins II","BAL","106","28.1%","17929"
"2021","DJ LeMahieu","NYY","100","26.1%","9874"
"2022","Randal Grichuk","COL","88","31.6%","10243"
"2021","Adolis Garcia","TEX","99","41.3%","19287"
"2021","David Peralta","ARI","94","27.1%","2136"
"2021","J.P. Crawford","SEA","103","26.3%","15491"
"2022","Austin Hays","BAL","105","28.2%","19363"
"2022","Luis Rengifo","LAA","103","22.1%","19858"
"2022","Ha-seong Kim","SDP","105","27.8%","27506"
"2022","Jesse Winker","SEA","108","36.7%","13590"
"2022","Wilmer Flores","SFG","103","30.1%","5827"
"2021","Jazz Chisholm Jr.","MIA","97","38.9%","20454"
"2022","Trey Mancini","- - -","104","35.1%","15149"
"2021","Matt Chapman","OAK","102","49.7%","16505"
"2022","Luke Voit","- - -","102","45.1%","14811"
"2022","Eduardo Escobar","NYM","106","34.9%","6153"
"2022","Amed Rosario","CLE","103","21.9%","15518"
"2021","Miguel Rojas","MIA","96","22.3%","7802"
"2021","Jed Lowrie","OAK","102","33.4%","4418"
"2022","Bobby Witt Jr.","KCR","99","29.3%","25764"
"2021","Myles Straw","- - -","97","30.1%","17620"
"2022","MJ Melendez","KCR","99","40.3%","22197"
"2022","Elvis Andrus","- - -","105","25.6%","8709"
"2022","Alec Bohm","PHI","98","24.4%","21618"
"2022","Jeremy Pena","HOU","102","32.1%","21636"
"2022","Andrew McCutchen","MIL","98","34.1%","9847"
"2022","Kyle Farmer","CIN","92","25.0%","14813"
"2022","Carlos Santana","- - -","102","35.2%","2396"
"2022","Lane Thomas","WSN","96","34.7%","16939"
"2021","Kyle Seager","SEA","99","38.1%","9785"
"2022","Mike Yastrzemski","SFG","99","39.2%","14854"
"2021","Gleyber Torres","NYY","94","31.6%","16997"
"2021","Whit Merrifield","KCR","90","21.3%","11281"
"2021","Eugenio Suarez","CIN","84","44.9%","12552"
"2022","J.P. Crawford","SEA","104","25.5%","15491"
"2021","Miguel Cabrera","DET","94","32.9%","1744"
"2021","Raimel Tapia","COL","75","21.8%","14350"
"2022","Nick Castellanos","PHI","94","30.8%","11737"
"2021","Jose Iglesias","- - -","90","20.5%","10231"
"2022","Tommy Pham","- - -","89","38.6%","2967"
"2021","Cesar Hernandez","- - -","90","33.8%","10556"
"2022","Josh Donaldson","NYY","97","39.7%","5038"
"2021","Tommy Edman","STL","90","20.8%","19470"
"2021","Randal Grichuk","TOR","85","29.9%","10243"
"2021","Nick Solak","TEX","88","29.7%","19294"
"2022","Marcell Ozuna","ATL","88","34.7%","10324"
"2022","A.J. Pollock","CHW","92","27.3%","9256"
"2022","Ke'Bryan Hayes","PIT","88","31.6%","18577"
"2022","Whit Merrifield","- - -","88","24.4%","11281"
"2021","Carlos Santana","KCR","82","31.4%","2396"
"2021","Hunter Dozier","KCR","81","39.2%","15117"
"2021","Isiah Kiner-Falefa","TEX","84","18.6%","16512"
"2022","Nelson Cruz","WSN","85","35.1%","2434"
"2022","Javier Baez","DET","90","32.2%","12979"
"2022","Jesus Aguilar","- - -","86","32.1%","11342"
"2022","Tony Kemp","OAK","91","21.7%","14894"
"2021","Michael A. Taylor","KCR","76","35.8%","11489"
"2022","Isiah Kiner-Falefa","NYY","85","20.9%","16512"
"2022","Yuli Gurriel","HOU","85","19.0%","19198"
"2022","Cody Bellinger","LAD","83","37.6%","15998"
"2022","Cesar Hernandez","WSN","79","25.9%","10556"
"2022","Jorge Mateo","BAL","82","35.1%","17273"
"2022","Trent Grisham","SDP","83","42.7%","18564"
"2022","Adam Frazier","SEA","81","20.3%","15223"
"2021","David Fletcher","LAA","69","14.0%","17992"
"2021","Elvis Andrus","OAK","74","21.3%","8709"
"2022","Miguel Rojas","MIA","73","18.3%","7802"
"2022","Myles Straw","CLE","64","23.7%","17620"
"2021","Kevin Newman","PIT","53","13.2%","17696"
"2022","Jonathan Schoop","DET","57","26.9%","11265"
