"Season","Name","Team","wRC+","TTO%","playerid"
"2022","Miguel Rojas","MIA","73","18.3%","7802"
"2021","David Bote","CHC","66","33.0%","14593"
"2022","CJ Abrams","- - -","71","18.9%","25768"
"2022","Jacob Stallings","MIA","71","30.2%","13723"
"2022","Tomas Nido","NYM","74","29.7%","13755"
"2022","Martin Maldonado","HOU","70","40.4%","6887"
"2022","Yasmani Grandal","CHW","68","34.3%","11368"
"2021","Maikel Franco","BAL","62","24.3%","12179"
"2021","Jose Trevino","TEX","63","24.5%","16725"
"2022","Maikel Franco","WSN","64","24.7%","12179"
"2022","Kole Calhoun","TEX","67","41.3%","11200"
"2022","Victor Robles","WSN","64","31.2%","18363"
"2021","Marwin Gonzalez","- - -","57","33.6%","5497"
"2022","Avisail Garcia","MIA","66","35.3%","5760"
"2022","Max Stassi","LAA","63","42.4%","10059"
"2021","Martin Maldonado","HOU","61","43.7%","6887"
"2022","Myles Straw","CLE","64","23.7%","17620"
"2021","Jake Bauers","- - -","63","35.6%","15194"
"2022","Tucker Barnhart","DET","63","32.5%","10200"
"2022","Geraldo Perdomo","ARI","58","31.6%","22799"
"2022","Taylor Walls","TBR","66","38.6%","22458"
"2021","Andrelton Simmons","MIN","58","21.5%","10847"
"2022","Jackie Bradley Jr.","- - -","56","28.4%","12984"
"2022","Nicky Lopez","KCR","57","19.2%","19339"
"2021","Kevin Newman","PIT","53","13.2%","17696"
"2022","Abraham Toro","SEA","62","27.6%","19844"
"2022","Jonathan Schoop","DET","57","26.9%","11265"
"2022","Nick Allen","OAK","61","26.7%","22277"
"2022","Andrew Velazquez","LAA","50","41.0%","14196"
"2021","Cody Bellinger","LAD","47","38.6%","15998"
"2021","Austin Hedges","CLE","40","35.9%","12976"
"2022","Austin Hedges","CLE","42","32.5%","12976"
"2021","Jackie Bradley Jr.","MIL","37","38.8%","12984"
"2022","Leury Garcia","CHW","39","23.8%","5913"
