Season,Name,Team,wRCplus,TTO,playerid,new_TTO
2022,Enrique Hernandez,BOS,75,27.6%,10472,2760
2022,Eric Haase,DET,112,38.5%,14111,3850
2021,Eric Haase,DET,101,43.8%,14111,4380
2021,Eric Hosmer,SDP,103,28.1%,3516,2810
2022,Eric Hosmer,- - -,104,26.0%,3516,2600
2022,Eugenio Suarez,SEA,131,47.7%,12552,4770
2021,Eugenio Suarez,CIN,84,44.9%,12552,4490
2022,Francisco Lindor,NYM,127,30.9%,12916,3090
2021,Francisco Lindor,NYM,103,33.2%,12916,3320.0000000000005
2021,Franmil Reyes,CLE,126,47.6%,14566,4760
2022,Franmil Reyes,- - -,80,42.5%,14566,4250
2022,Freddie Freeman,LAD,157,29.2%,5361,2920
2021,Freddie Freeman,ATL,135,32.1%,5361,3210
2021,Gary Sanchez,NYY,100,44.5%,11442,4450
2022,Gary Sanchez,MIN,89,40.8%,11442,4079.9999999999995
2022,Gavin Lux,LAD,113,31.4%,19955,3140
2021,Gavin Lux,LAD,90,34.4%,19955,3440
2021,George Springer,TOR,140,40.4%,12856,4040
2022,George Springer,TOR,132,30.7%,12856,3070
2021,Giancarlo Stanton,NYY,137,44.0%,4949,4400
2022,Giancarlo Stanton,NYY,115,48.2%,4949,4820
2022,Gio Urshela,MIN,119,27.2%,10681,2720
2021,Gio Urshela,NYY,96,32.4%,10681,3240
2022,Gleyber Torres,NYY,115,33.6%,16997,3360
2021,Gleyber Torres,NYY,94,31.6%,16997,3160
2022,Harold Castro,DET,94,23.3%,14691,2330
2021,Harold Castro,DET,84,26.3%,14691,2630
2022,Harold Ramirez,TBR,119,22.3%,14387,2230
2021,Harold Ramirez,CLE,90,21.3%,14387,2130
2021,Harrison Bader,STL,110,31.9%,18030,3190
2022,Harrison Bader,- - -,86,26.2%,18030,2620
2022,Hunter Dozier,KCR,90,34.2%,15117,3420.0000000000005
2021,Hunter Dozier,KCR,81,39.2%,15117,3920.0000000000005
2022,Hunter Renfroe,MIL,124,36.2%,15464,3620.0000000000005
2021,Hunter Renfroe,BOS,113,35.8%,15464,3579.9999999999995
2022,Ian Happ,CHC,120,34.9%,17919,3490
2021,Ian Happ,CHC,105,45.4%,17919,4540
2021,Isiah Kiner-Falefa,TEX,84,18.6%,16512,1860.0000000000002
2022,Isiah Kiner-Falefa,NYY,85,20.9%,16512,2090
2021,J.D. Martinez,BOS,127,36.8%,6184,3679.9999999999995
2022,J.D. Martinez,BOS,119,35.7%,6184,3570.0000000000005
2021,J.P. Crawford,SEA,103,26.3%,15491,2630
2022,J.P. Crawford,SEA,104,25.5%,15491,2550
2022,J.T. Realmuto,PHI,128,32.4%,11739,3240
2021,J.T. Realmuto,PHI,108,36.1%,11739,3610
2021,Jace Peterson,MIL,98,37.1%,12325,3710
2022,Jace Peterson,MIL,96,38.4%,12325,3840
2022,Jackie Bradley Jr.,- - -,56,28.4%,12984,2840
2021,Jackie Bradley Jr.,MIL,37,38.8%,12984,3879.9999999999995
2021,Jacob Stallings,PIT,94,33.3%,13723,3329.9999999999995
2022,Jacob Stallings,MIA,71,30.2%,13723,3020
2021,Jake Cronenworth,SDP,116,25.8%,18036,2580
2022,Jake Cronenworth,SDP,109,31.9%,18036,3190
2021,Jared Walsh,LAA,126,39.1%,18607,3910
2022,Jared Walsh,LAA,78,39.6%,18607,3960
2021,Javier Baez,- - -,117,44.4%,12979,4440
2022,Javier Baez,DET,90,32.2%,12979,3220.0000000000005
2021,Jean Segura,PHI,109,23.1%,5933,2310
2022,Jean Segura,PHI,105,24.0%,5933,2400
2022,Jeff McNeil,NYM,143,18.7%,15362,1870
2021,Jeff McNeil,NYM,92,22.1%,15362,2210
